CODPROD;FECHAVIG;PRECIOV
2231;12/09/2002;0,35
2231;01/08/2003;0,35
2232;12/09/2002;0,35
2232;01/08/2003;0,35
2232;19/03/2007;0,4
2232;13/08/2007;0,35
2232;12/10/2009;0,4
2233;12/09/2002;0,35
2233;01/08/2003;0,35
2233;08/03/2007;0,6
2233;19/03/2007;0,4
2233;13/08/2007;0,35
2234;12/09/2002;0,35
2234;01/08/2003;0,35
2234;08/03/2007;0,6
2234;19/03/2007;0,4
2234;13/08/2007;0,35
2234;12/10/2009;0,4
2235;12/09/2002;0,35
2235;01/08/2003;0,35
2235;19/03/2007;0,4
2240;12/09/2002;0,4
2240;01/08/2003;0,4
2242;01/04/2012;4,5
2243;26/10/2012;25,48
2245;01/02/2003;0,35
2245;01/08/2003;0,35
2250;12/09/2002;2,5
2250;01/08/2003;2,5
2260;12/09/2002;0,4
2261;12/09/2002;0,4
2262;12/09/2002;0,4
2262;01/08/2003;0,4
2263;12/09/2002;0,4
2264;12/09/2002;0,4
2264;01/08/2003;0,4
2265;05/03/2004;0,29
2270;12/09/2002;0,41
2270;11/05/2003;0,39
2270;12/05/2003;0,39
2270;15/08/2005;0,41
2277;01/07/2006;2,2
2277;23/04/2007;2,4
2277;13/08/2007;2,2
2278;01/07/2006;2,2
2278;23/04/2007;2,4
2278;13/08/2007;2,2
2279;01/07/2006;2,2
2279;23/04/2007;2,4
2279;23/07/2007;2,2
2279;13/08/2007;2,2
2280;12/09/2002;0,8
2280;01/08/2003;0,8
2281;12/09/2002;0,8
2281;01/08/2003;0,8
2282;12/09/2002;0,8
2282;01/08/2003;0,8
2283;12/09/2002;0,8
2283;01/08/2003;0,8
2284;12/09/2002;0,8
2284;01/08/2003;0,8
2285;27/10/2003;0,4
2285;21/02/2011;0,4
2286;12/09/2002;0,8
2286;01/08/2003;0,8
2286;01/02/2010;0,4
2286;21/02/2011;0,4
2287;27/10/2003;0,4
2287;21/02/2011;0,4
2288;27/10/2003;0,4
2288;01/11/2003;0,4
2288;21/02/2011;0,4
2289;27/10/2003;0,4
2289;21/02/2011;0,4
2290;12/09/2002;1,6
2291;12/09/2002;1,6
2292;12/09/2002;1,6
2293;12/09/2002;1,6
2293;01/08/2003;1,6
2297;18/06/2011;0,4
2298;01/11/2003;0,4
2298;21/02/2011;0,4
2299;01/11/2003;0,4
2299;21/02/2011;0,4
2300;12/09/2002;0,4
2300;01/08/2003;0,4
2300;18/03/2008;0,42
2300;02/07/2009;0,4
2300;21/02/2011;0,41
2301;12/09/2002;0,4
2301;01/08/2003;0,4
2301;18/03/2008;0,42
2301;02/07/2009;0,4
2301;21/02/2011;0,41
2302;12/09/2002;0,4
2302;01/08/2003;0,4
2303;12/09/2002;0,4
2303;01/08/2003;0,4
2304;12/09/2002;0,4
2304;01/08/2003;0,4
2306;12/09/2002;0,4
2306;01/08/2003;0,4
2307;12/09/2002;0,4
2307;01/08/2003;0,4
2307;18/03/2008;0,42
2307;02/07/2009;0,4
2307;21/02/2011;0,41
2308;12/09/2002;0,4
2308;01/08/2003;0,4
2309;12/03/2003;0,4
2309;01/08/2003;0,4
2310;22/10/2002;0,3636
2310;01/08/2003;0,4
2311;22/10/2002;0,3636
